id,created_at,text
572261339269353472,2015-03-02 05:05:10,"ganhei 125mb na dropbox por 1 tweet de propaganda, me vendo tão fácil que por 1gb eu até trocava minha foto de perfil"
572248454484762624,2015-03-02 04:13:58,I love Dropbox because It's practical and everyone is using it! https://t.co/zVd8wZb3Pi
508027037635080193,2014-09-05 23:00:59,RT @nelsopinho: tô no chão http://t.co/rFKAPjM9bQ
504741220959404033,2014-08-27 21:24:19,@marceloprates_ se aqui tivesse like eu daria like em tudo que tu posta praticamente
504500933716639744,2014-08-27 05:29:30,RT @andreagrimes: Rape prevention nail polish sounds like a great idea but I’m not sure how you’re going to get men to wear it
497458349018185729,2014-08-07 19:04:47,RT @marceloprates_: postei uma foto do @suyapc no meu facebook em 22 de julho e ainda tou recebendo notificações de like nos dias de hoje
486312004748337152,2014-07-08 00:53:11,@Kdrids Pesquisam mostram que o conteúdo de um texto é melhor entendido com fonte comic sans do que arial ou helvetica (é sério!).
485183135936937984,2014-07-04 22:07:28,RT @Adammes: TA CHOVENDO E AS ROUPA TA NO VARAL http://t.co/R5TPTwbSti
475136829742919680,2014-06-07 04:47:02,"@Luidelho é dificílimo escrever uma análise com esse limite de 140 caracteres,"
475136598666141696,2014-06-07 04:46:07,@Luidelho assaltos num lugar com 29% da população na pobreza ou arrombamentos onde um atendente de macdonalds ganha quase como um cirurgião
475132480048345088,2014-06-07 04:29:45,"@Luidelho no Brasil sempre que fui assaltado forma em situações que eu meio que já suspeitava, tipo na escadaria da rodoviaria as 3 da manha"
475132224355201024,2014-06-07 04:28:44,"@Luidelho mas tu tem que ver como as pessoas se expõe, eu to num bairro bom de uma cidade do tamanho de Carazinho"
475112091314290688,2014-06-07 03:08:44,"@Luidelho só na habitação aqui teve 3 casos de arrombamento e roubo nesse semestre. Se fosse no br tinha gente já dizendo ""só aqui mesmo""."
471103369323364352,2014-05-27 01:39:30,"acho hilario gente que nunca saiu do Brasil reclamando de coisa que acontece em todo lugar, vide: http://t.co/DNJa0mfXAC"
467423047625220096,2014-05-16 21:55:13,@cronofobia Bah que coincidencia! eu canto essa música no coral aqui da cidade. Vo te manda um video depois hahahha
465542855277441025,2014-05-11 17:24:00,"Hoje cantei com o coral ""with a little help from my friends"" numa igreja, primeira vez que canto sobre ficar chapado numa igreja"
464951443670458368,2014-05-10 02:13:57,"uma russa alcoolizada entra no meu quarto as 4 da manhã, mandei ela embora, claro, pois tenho prova amanha cedo. o que vcs fariam?"
464900144316825600,2014-05-09 22:50:06,"@brunagoulart opa, seguindo essa progressão se tu deixar de pagar por mais 6 meses vai ficar devendo 4 milhões"
464866562626039808,2014-05-09 20:36:39,"@brunagoulart É isso ai! Tbm já fiz barraco no Santander, daqueles de citar ""mas segundo a lei municipal 3947 de 94 vocês não podem..."""
461258633956052992,2014-04-29 21:40:02,"RT @fernandavsf: ""tem bala?"" ""ja dei pro fulano"" ""nao mude de assunto"""
458180902871633921,2014-04-21 09:50:14,"@cassioticotico o mais tri é que se um dia tu tiver uma página da wikipédia sobre ti, tu vai estar nessa lista"
451078474208657408,2014-04-01 19:27:43,RT @aabraga: Se você não checa as fontes é primeiro de Abril todos os dias na Internet.
448577721204232192,2014-03-25 21:50:37,@cassioticotico Não sabe nem apontar o sudão no mapa
447597930724462592,2014-03-23 04:57:17,RT @FogacaHC: Cagando sem o celular o cara aprende um monte de coisa sobre cosméticos!
443561181681549313,2014-03-12 01:36:41,"Por uma banda que faça uma versão em portugues de Painkiller e chame de ""Analgésico"""
443561042233532417,2014-03-12 01:36:08,"@Luidelho hoje tava tocando Painkiller do Judas Priest na academia, bem inusitado"
443383025347592192,2014-03-11 13:48:45,@Luidelho @cassioticotico rindo muito com os tweets do cássio morando na tua casa
439176313820422144,2014-02-27 23:12:47,"RT @cassioticotico: queria compartilhar o que eu ouvi hoje no trem ""meu bairro parece o filme do shrek.  só tem burro engravidando dragão"""
432695430548574208,2014-02-10 02:00:04,RT @cassioticotico: BANDIDO BOM É BANDIDO REINSERIDO NA SOCIEDADE
430158284289761280,2014-02-03 01:58:21,"RT @brunagoulart: Não tenho nada contra Justin Bieber, inclusive tenho amigos que são, só não quero na minha família"
424334997781102592,2014-01-18 00:18:41,"to meio doente e resolvi não festear muito hoje, uma hora depois eu to com cabelo molhado numa guerra de bola de neve, bebado"
414271456416391168,2013-12-21 05:49:46,RT @Held_Krijger: Quem é q nunca pensou em jogar war com o mapa das partes do boi q tem nos açougue? “vou atacar o filé mignon com 3 exérci…
411538460743184384,2013-12-13 16:49:49,@Luidelho Eu aposto uma caixa de cerveja que não vai ser a alemanha
410810193035804672,2013-12-11 16:35:57,@Luidelho só existe o @cmdalbem
408530136502243329,2013-12-05 09:35:49,"eu não vejo o sol desde domingo ao meio dia, pensei que hoje que eu to de volta do polo norte el ia aparecer mas...nublado"
408529983460483072,2013-12-05 09:35:12,"a vida é feita de desafio, por exemplo eu acabo de fazer uma prova oral de sueco"
